Nome,Voto_Effetto,Voto_Sapore,Caratteristiche Principali
"Fagiolo Vellutato, Ilex Guayasa, Rodiola Rosea",0,0,
"Fagiolo Vellutato, Ilex Guayasa, Té nero",0,0,
"Fagiolo Vellutato, Ilex Guayasa, Té verde",0,0,
"Fagiolo Vellutato, Ilex Guayasa, Yerba Mate",0,0,
"Fagiolo Vellutato, Moringa, Rodiola Rosea",0,0,
"Fagiolo Vellutato, Moringa, Té nero",0,0,
"Fagiolo Vellutato, Moringa, Té verde",0,0,
"Fagiolo Vellutato, Moringa, Yerba Mate",0,0,
"Fagiolo Vellutato, Rodiola Rosea, Té nero",0,0,
"Fagiolo Vellutato, Rodiola Rosea, Té verde",0,0,
"Fagiolo Vellutato, Rodiola Rosea, Yerba Mate",0,0,
"Fagiolo Vellutato, Té nero, Té verde",0,0,
"Fagiolo Vellutato, Té nero, Yerba Mate",0,0,
"Fagiolo Vellutato, Té verde, Yerba Mate",0,0,
"Ginkgo Biloba, Ginseng, Ilex Guayasa",0,0,
"Ginkgo Biloba, Ginseng, Moringa",0,0,
"Ginkgo Biloba, Ginseng, Rodiola Rosea",0,0,
"Ginkgo Biloba, Ginseng, Té nero",0,0,
"Ginkgo Biloba, Ginseng, Té verde",0,0,
"Ginkgo Biloba, Ginseng, Yerba Mate",0,0,
"Ginkgo Biloba, Ilex Guayasa, Moringa",0,0,
"Ginkgo Biloba, Ilex Guayasa, Rodiola Rosea",0,0,
"Ginkgo Biloba, Ilex Guayasa, Té nero",0,0,
"Ginkgo Biloba, Ilex Guayasa, Té verde",0,0,
"Ginkgo Biloba, Ilex Guayasa, Yerba Mate",0,0,
"Ginkgo Biloba, Moringa, Rodiola Rosea",0,0,
"Ginkgo Biloba, Moringa, Té nero",0,0,
"Ginkgo Biloba, Moringa, Té verde",0,0,
"Ginkgo Biloba, Moringa, Yerba Mate",0,0,
"Ginkgo Biloba, Rodiola Rosea, Té nero",0,0,
"Ginkgo Biloba, Rodiola Rosea, Té verde",0,0,
"Ginkgo Biloba, Rodiola Rosea, Yerba Mate",0,0,
"Ginkgo Biloba, Té nero, Té verde",0,0,
"Ginkgo Biloba, Té nero, Yerba Mate",0,0,
"Ginkgo Biloba, Té verde, Yerba Mate",0,0,
"Ginseng, Ilex Guayasa, Moringa",0,0,
"Ginseng, Ilex Guayasa, Rodiola Rosea",0,0,
"Ginseng, Ilex Guayasa, Té nero",0,0,
"Ginseng, Ilex Guayasa, Té verde",0,0,
"Ginseng, Ilex Guayasa, Yerba Mate",0,0,
"Ginseng, Moringa, Rodiola Rosea",0,0,
"Ginseng, Moringa, Té nero",0,0,
"Ginseng, Moringa, Té verde",0,0,
"Ginseng, Moringa, Yerba Mate",0,0,
"Ginseng, Rodiola Rosea, Té nero",0,0,
"Ginseng, Rodiola Rosea, Té verde",0,0,
"Ginseng, Rodiola Rosea, Yerba Mate",0,0,
"Ginseng, Té nero, Té verde",0,0,
"Ginseng, Té nero, Yerba Mate",0,0,
"Ginseng, Té verde, Yerba Mate",0,0,
"Ilex Guayasa, Moringa, Rodiola Rosea",0,0,
"Ilex Guayasa, Moringa, Té nero",0,0,
"Ilex Guayasa, Moringa, Té verde",0,0,
"Ilex Guayasa, Moringa, Yerba Mate",0,0,
"Ilex Guayasa, Rodiola Rosea, Té nero",0,0,
"Ilex Guayasa, Rodiola Rosea, Té verde",0,0,
"Ilex Guayasa, Rodiola Rosea, Yerba Mate",0,0,
"Ilex Guayasa, Té nero, Té verde",0,0,
"Ilex Guayasa, Té nero, Yerba Mate",0,0,
"Ilex Guayasa, Té verde, Yerba Mate",0,0,
"Moringa, Rodiola Rosea, Té nero",0,0,
"Moringa, Rodiola Rosea, Té verde",0,0,
"Moringa, Rodiola Rosea, Yerba Mate",0,0,
"Moringa, Té nero, Té verde",0,0,
"Moringa, Té nero, Yerba Mate",0,0,
"Moringa, Té verde, Yerba Mate",0,0,
"Rodiola Rosea, Té nero, Té verde",0,0,
"Rodiola Rosea, Té nero, Yerba Mate",0,0,
"Rodiola Rosea, Té verde, Yerba Mate",0,0,
"Té nero, Té verde, Yerba Mate",0,0,
"Akuamma, Artemisia",0,0,
"Akuamma, Biancospino",0,0,
"Akuamma, Camomilla",0,0,
"Akuamma, Coda di Leone",0,0,
"Akuamma, Corydalis",0,0,
"Akuamma, Damiana",0,0,
"Akuamma, Gelsomino",0,0,
"Akuamma, Kava",0,0,
"Akuamma, Lattuga Selvatica",0,0,
"Akuamma, Loto Blu",0,0,
"Akuamma, Loto Rosa",0,0,
"Akuamma, Marihuanilla",0,0,
"Akuamma, Melissa",0,0,
"Akuamma, Mulungu",0,0,
"Akuamma, Papavero Selvatico",0,0,
"Akuamma, Papavero della california",0,0,
"Akuamma, Passiflora",0,0,
"Akuamma, Pedicularis Hirsuta",0,0,
"Akuamma, Skullcap",0,0,
"Akuamma, Valeriana",0,0,
"Artemisia, Biancospino",0,0,
"Artemisia, Camomilla",0,0,
"Artemisia, Coda di Leone",0,0,
"Artemisia, Corydalis",0,0,
"Artemisia, Damiana",0,0,
"Artemisia, Gelsomino",0,0,
"Artemisia, Kava",0,0,
"Artemisia, Lattuga Selvatica",0,0,
"Artemisia, Loto Blu",0,0,
"Artemisia, Loto Rosa",0,0,
"Artemisia, Marihuanilla",0,0,
"Artemisia, Melissa",0,0,
"Artemisia, Mulungu",0,0,
"Artemisia, Papavero Selvatico",0,0,
"Artemisia, Papavero della california",0,0,
"Artemisia, Passiflora",0,0,
"Artemisia, Pedicularis Hirsuta",0,0,
"Artemisia, Skullcap",0,0,
"Artemisia, Valeriana",0,0,
"Biancospino, Camomilla",0,0,
"Biancospino, Coda di Leone",0,0,
"Biancospino, Corydalis",0,0,
"Biancospino, Damiana",0,0,
"Biancospino, Gelsomino",0,0,
"Biancospino, Kava",0,0,
"Biancospino, Lattuga Selvatica",0,0,
"Biancospino, Loto Blu",0,0,
"Biancospino, Loto Rosa",0,0,
"Biancospino, Marihuanilla",0,0,
"Biancospino, Melissa",0,0,
"Biancospino, Mulungu",0,0,
"Biancospino, Papavero Selvatico",0,0,
"Biancospino, Papavero della california",0,0,
"Biancospino, Passiflora",0,0,
"Biancospino, Pedicularis Hirsuta",0,0,
"Biancospino, Skullcap",0,0,
"Biancospino, Valeriana",0,0,
"Camomilla, Coda di Leone",0,0,
"Camomilla, Corydalis",0,0,
"Camomilla, Damiana",0,0,
"Camomilla, Gelsomino",0,0,
"Camomilla, Kava",0,0,
"Camomilla, Lattuga Selvatica",0,0,
"Camomilla, Loto Blu",0,0,
"Camomilla, Loto Rosa",0,0,
"Camomilla, Marihuanilla",0,0,
"Camomilla, Melissa",0,0,
"Camomilla, Mulungu",0,0,
"Camomilla, Papavero Selvatico",0,0,
"Camomilla, Papavero della california",0,0,
"Camomilla, Passiflora",0,0,
"Camomilla, Pedicularis Hirsuta",0,0,
"Camomilla, Skullcap",0,0,
"Camomilla, Valeriana",0,0,
"Coda di Leone, Corydalis",0,0,
"Coda di Leone, Damiana",0,0,
"Coda di Leone, Gelsomino",0,0,
"Coda di Leone, Kava",0,0,
"Coda di Leone, Lattuga Selvatica",0,0,
"Coda di Leone, Loto Blu",0,0,
"Coda di Leone, Loto Rosa",0,0,
"Coda di Leone, Marihuanilla",0,0,
"Coda di Leone, Melissa",0,0,
"Coda di Leone, Mulungu",0,0,
"Coda di Leone, Papavero Selvatico",0,0,
"Coda di Leone, Papavero della california",0,0,
"Coda di Leone, Passiflora",0,0,
"Coda di Leone, Pedicularis Hirsuta",0,0,
"Coda di Leone, Skullcap",0,0,
"Coda di Leone, Valeriana",0,0,
"Corydalis, Damiana",0,0,
"Corydalis, Gelsomino",0,0,
"Corydalis, Kava",0,0,
"Corydalis, Lattuga Selvatica",0,0,
"Corydalis, Loto Blu",0,0,
"Corydalis, Loto Rosa",0,0,
"Corydalis, Marihuanilla",0,0,
"Corydalis, Melissa",0,0,
"Corydalis, Mulungu",0,0,
"Corydalis, Papavero Selvatico",0,0,
"Corydalis, Papavero della california",0,0,
"Corydalis, Passiflora",0,0,
"Corydalis, Pedicularis Hirsuta",0,0,
"Corydalis, Skullcap",0,0,
"Corydalis, Valeriana",0,0,
"Damiana, Gelsomino",0,0,
"Damiana, Kava",0,0,
"Damiana, Lattuga Selvatica",0,0,
"Damiana, Loto Blu",0,0,
"Damiana, Loto Rosa",0,0,
"Damiana, Marihuanilla",0,0,
"Damiana, Melissa",0,0,
"Damiana, Mulungu",0,0,
"Damiana, Papavero Selvatico",0,0,
"Damiana, Papavero della california",0,0,
"Damiana, Passiflora",0,0,
"Damiana, Pedicularis Hirsuta",0,0,
"Damiana, Skullcap",0,0,
"Damiana, Valeriana",0,0,
"Gelsomino, Kava",0,0,
"Gelsomino, Lattuga Selvatica",0,0,
"Gelsomino, Loto Blu",0,0,
"Gelsomino, Loto Rosa",0,0,
"Gelsomino, Marihuanilla",0,0,
"Gelsomino, Melissa",0,0,
"Gelsomino, Mulungu",0,0,
"Gelsomino, Papavero Selvatico",0,0,
"Gelsomino, Papavero della california",0,0,
"Gelsomino, Passiflora",0,0,
"Gelsomino, Pedicularis Hirsuta",0,0,
"Gelsomino, Skullcap",0,0,
"Gelsomino, Valeriana",0,0,
"Lattuga Selvatica, Kava",0,0,
"Lattuga Selvatica, Loto Blu",0,0,
"Lattuga Selvatica, Loto Rosa",0,0,
"Lattuga Selvatica, Marihuanilla",0,0,
"Lattuga Selvatica, Melissa",0,0,
"Lattuga Selvatica, Mulungu",0,0,
"Lattuga Selvatica, Papavero Selvatico",0,0,
"Lattuga Selvatica, Papavero della california",0,0,
"Lattuga Selvatica, Passiflora",0,0,
"Lattuga Selvatica, Pedicularis Hirsuta",0,0,
"Lattuga Selvatica, Skullcap",0,0,
"Lattuga Selvatica, Valeriana",0,0,
"Papavero della california, Kava",0,0,
"Papavero della california, Loto Blu",0,0,
"Papavero della california, Loto Rosa",0,0,
"Papavero della california, Marihuanilla",0,0,
"Papavero della california, Melissa",0,0,
"Papavero della california, Mulungu",0,0,
"Papavero della california, Papavero Selvatico",0,0,
"Papavero della california, Passiflora",0,0,
"Papavero della california, Pedicularis Hirsuta",0,0,
"Papavero della california, Skullcap",0,0,
"Papavero della california, Valeriana",0,0,
"Papavero Selvatico, Kava",0,0,
"Papavero Selvatico, Loto Blu",0,0,
"Papavero Selvatico, Loto Rosa",0,0,
"Papavero Selvatico, Marihuanilla",0,0,
"Papavero Selvatico, Melissa",0,0,
"Papavero Selvatico, Mulungu",0,0,
"Papavero Selvatico, Passiflora",0,0,
"Papavero Selvatico, Pedicularis Hirsuta",0,0,
"Papavero Selvatico, Skullcap",0,0,
"Papavero Selvatico, Valeriana",0,0,
"Passiflora, Kava",0,0,
"Passiflora, Loto Blu",0,0,
"Passiflora, Loto Rosa",0,0,
"Passiflora, Marihuanilla",0,0,
"Passiflora, Melissa",0,0,
"Passiflora, Mulungu",0,0,
"Passiflora, Pedicularis Hirsuta",0,0,
"Passiflora, Skullcap",0,0,
"Passiflora, Valeriana",0,0,
"Pedicularis Hirsuta, Kava",0,0,
"Pedicularis Hirsuta, Loto Blu",0,0,
"Pedicularis Hirsuta, Loto Rosa",0,0,
"Pedicularis Hirsuta, Marihuanilla",0,0,
"Pedicularis Hirsuta, Melissa",0,0,
"Pedicularis Hirsuta, Mulungu",0,0,
"Pedicularis Hirsuta, Skullcap",0,0,
"Pedicularis Hirsuta, Valeriana",0,0,
"Kava, Loto Blu",0,0,
"Kava, Loto Rosa",0,0,
"Kava, Marihuanilla",0,0,
"Kava, Melissa",0,0,
"Kava, Mulungu",0,0,
"Kava, Skullcap",0,0,
"Kava, Valeriana",0,0,
"Loto Blu, Loto Rosa",0,0,
"Loto Blu, Marihuanilla",0,0,
"Loto Blu, Melissa",0,0,
"Loto Blu, Mulungu",0,0,
"Loto Blu, Skullcap",0,0,
"Loto Blu, Valeriana",0,0,
"Loto Rosa, Marihuanilla",0,0,
"Loto Rosa, Melissa",0,0,
